label,F0 Hz,F1 Hz,F2 Hz,F3 Hz,category,F0,F1,F2,F3,Z0,Z1,Z2,Z3,Openness,Frontness,Roundness
[ɵ],120,380-400,1250-1250,2300,central_rounded,120.0,390.0,1250.0,2300.0,1.0167307692307692,3.91931914893617,9.910031152647976,13.944882629107981,2.9025883797054006,5.990712003711806,4.034851476460005
[ɞ],120,550,1200,2300,central_rounded,120.0,550.0,1200.0,2300.0,1.0167307692307692,5.344701195219123,9.651012658227849,13.944882629107981,4.3279704259883545,4.306311463008726,4.293869970880133
[ɯ],120,300,1300,2500,back_unrounded,120.0,300.0,1300.0,2500.0,1.0167307692307692,3.0288495575221237,10.161104294478529,14.498026905829597,2.0121187882913545,7.132254736956405,4.336922611351069
[ɤ],120,400,1200,2500,back_unrounded,120.0,400.0,1200.0,2500.0,1.0167307692307692,4.01406779661017,9.651012658227849,14.498026905829597,2.9973370273794004,5.636944861617679,4.847014247601749
[ʌ],120,640,1190-1200,2390-2500,back_unrounded,120.0,640.0,1195.0,2445.0,1.0167307692307692,6.069384615384615,9.624659270998414,14.350919409761634,5.052653846153845,3.5552746556137995,4.7262601387632195
[ɑ],120,710-730,1090-1100,2440-2500,back_unrounded,120.0,720.0,1095.0,2470.0,1.0167307692307692,6.672686567164179,9.079476268412439,14.41823927765237,5.6559557979334105,2.4067897012482593,5.338763009239932
[u],120,300-310,870,2240-2250,back_rounded,120.0,305.0,870.0,2245.0,1.0167307692307692,3.0801766004415008,7.711943462897525,13.783543400713436,2.0634458312107316,4.631766862456025,6.07159993781591
[ʊ],120,440-450,1020-1030,2240-2350,back_rounded,120.0,445.0,1025.0,2295.0,1.0167307692307692,4.43068607068607,8.676113902847572,13.930387779083432,3.413955301455301,4.245427832161502,5.25427387623586
[o],120,400,800-850,2300-2500,back_rounded,120.0,400.0,825.0,2400.0,1.0167307692307692,4.01406779661017,7.411921005385996,14.227798165137616,2.9973370273794004,3.3978532087758264,6.8158771597516195
[ɔ],120,570-590,840-880,2410-2500,back_rounded,120.0,580.0,860.0,2455.0,1.0167307692307692,5.591968503937007,7.646099290780142,14.377938844847113,4.5752377347062385,2.0541307868431344,6.731839554066972
[ɒ],120,650,850,2450-2500,back_rounded,120.0,650.0,850.0,2475.0,1.0167307692307692,6.146819923371647,7.579786476868327,14.431612175873733,5.130089154140878,1.43296655349668,6.851825699005405
[ɚ],120,490-500,1350,1600-1690,rhotic,120.0,495.0,1350.0,1645.0,1.0167307692307692,4.8756822810590625,10.404592145015107,11.70368932038835,3.8589515118282933,5.528909863956044,1.2990971753732428
[ɜ˞],120,490-500,1350-1400,1650-1690,rhotic,120.0,495.0,1375.0,1670.0,1.0167307692307692,4.8756822810590625,10.523598200899551,11.804077134986226,3.8589515118282933,5.6479159198404885,1.2804789340866751
